STC,DCArrayOutput_W_,Vmp,Imp,CellTemperature_C_,PlaneOfArrayIrradiance_W_m_2_,Fill Factor,Gamma,Pmp,Voc,Isc,,
1,13396.09,35.11392112,4.026983251,41.808,811.89,1.624425029,0.174165432,141.4031722,44.48868589,5.163084672,,
1,14116.626,34.66295746,4.29879159,44.739,867.086,1.526446458,0.171850116,149.00883,42.32903868,5.373474282,,
1,13643.268,34.59864398,4.16236756,45.157,840.612,1.554271658,0.171318365,144.0122733,44.28766093,5.054098368,,
1,11864.245,35.28639818,3.549064333,40.687,717.857,1.945518563,0.174454936,125.2336972,45.30216158,5.378208768,,
1,8882.575,35.46472192,2.643768478,39.528,543.027,2.440543235,0.172662711,93.76051389,44.5232282,5.139487794,,
1,4999.423,36.99885998,1.426305763,29.557,306.317,3.866657313,0.172278023,52.77168722,43.47740689,4.69324288,,
1,789.584,36.29402732,0.229638274,15.862,49.201,28.3191853,0.169396918,8.334497778,43.39027903,5.439609798,,
1,4414.891,36.0329269,1.29330674,14.165,260.398,4.656005672,0.178963077,46.60162722,43.06516026,5.038352101,,
1,8748.532,37.35719992,2.471962988,27.228,508.809,2.60168798,0.181493676,92.34561556,45.08117419,5.329374896,,
1,11867.521,35.83721698,3.495480056,37.107,707.454,1.881861538,0.177069148,125.2682772,44.53192705,5.293675089,,
1,13444.446,35.09299616,4.043929336,41.944,815.291,1.665529611,0.174064962,141.9135967,44.69679684,5.288103717,,
1,14121.21,34.6597264,4.300588382,44.76,867.379,1.518857841,0.17184785,149.0572167,42.56648904,5.318660933,,
1,13598.376,34.61233752,4.147030326,45.068,837.343,1.590588639,0.171421285,143.5384133,45.59129981,5.007766185,,
1,12020.668,35.0813028,3.616879043,42.02,732.245,1.942084777,0.173281933,126.8848289,45.94874866,5.362955507,,
1,8970.577,35.2628576,2.685245336,40.84,552.124,2.456590443,0.171500286,94.68942389,43.9993661,5.286738296,,
1,5170.028,36.92746894,1.477829901,30.021,317.645,4.300516076,0.171803484,54.57251778,45.83853771,5.119927505,,
1,893.251,36.36111028,0.259308929,16.298,56.842,25.03690277,0.16587665,9.428760556,42.92758822,5.49918994,,
1,4258.321,36.29233486,1.238524445,15.851,252.248,5.065247948,0.17819346,44.94894389,43.69953006,5.210068518,,
1,8614.872,37.24349738,2.441627838,27.967,502.386,2.530003945,0.181005761,90.93476,43.22192406,5.322884313,,
